,name,value,carbon_date,region
203,"Micronesia, Federated States of",177000.0,2019,Australia and Oceania
204,British Virgin Islands,173000.0,2019,Central America and the Caribbean
205,Sao Tome and Principe,173000.0,2019,Africa
206,Tonga,171000.0,2019,Australia and Oceania
207,Cook Islands,114000.0,2019,Australia and Oceania
208,Saint Pierre and Miquelon,84000.0,2019,North America
209,Kiribati,76000.0,2019,Australia and Oceania
210,Nauru,66000.0,2019,Australia and Oceania
211,Falkland Islands (Islas Malvinas),46000.0,2019,South America
212,Montserrat,33000.0,2019,Central America and the Caribbean
213,Antarctica,28000.0,2019,Antarctica
214,"Saint Helena, Ascension, and Tristan da Cunha",13000.0,2019,Africa
215,Niue,8000.0,2019,Australia and Oceania
216,Northern Mariana Islands,0.0,2019,Australia and Oceania
217,Tuvalu,0.0,2019,Australia and Oceania
